nu_ano_avaliacao,co_uf,co_municipio,tp_dependencia,id_aluno,id_escola,sg_uf,no_municipio,vl_proficiencia_lp,in_alfabetizado,in_presenca_lp,status_alfabetizacao,status_presenca_lp,tp_dependencia_desc,total_alunos,alunos_com_classificacao,media_proficiencia_lp,percentual_alfabetizados,percentual_nao_alfabetizados,total_alunos_ano_anterior,media_proficiencia_ano_anterior,percentual_alfabetizados_ano_anterior,percentual_nao_alfabetizados_ano_anterior,variacao_media_proficiencia,variacao_pontos_percentuais_alfabetizados,variacao_pontos_percentuais_nao_alfabetizados,variacao_total_alunos_percentual,tx_alfabetizacao_escola,vol_alunos_escola,in_alfabetizado_real,in_alfabetizado_pred,score_prob,cluster_risco
2024,41,4106902,3,41032944,60033563.0,PR,Curitiba,752.38,1,1,Alfabetizado,Presente,Municipal,12923,12923,750.31,66.18,33.82,,,,,,,,,0.6134453781512605,109,1,0,46.94,Medio
2025,29,2927200,3,29259259,60015966.0,BA,Ruy Barbosa,634.2378695,0,1,Não Alfabetizado,Presente,Municipal,290,290,734.21,53.1,46.9,247.0,722.46,27.94,72.06,11.75,25.16,-25.16,17.41,0.42528735632183906,77,0,0,34.47,Alto
2024,52,5217104,3,52058358,60041752.0,GO,Piracanjuba,779.98,1,1,Alfabetizado,Presente,Municipal,208,208,760.05,72.12,27.88,,,,,,,,,0.8580645161290322,145,1,1,79.58,Baixo
2025,21,2111763,3,21138777,60006069.0,MA,Senador La Rocque,792.4884421,1,1,Alfabetizado,Presente,Municipal,175,175,766.14,76.57,23.43,133.0,749.68,64.66,35.34,16.46,11.91,-11.91,31.58,0.6363636363636364,45,1,1,61.05,Medio
2025,35,3522406,3,35078807,60030311.0,SP,Itapeva,628.36157,0,1,Não Alfabetizado,Presente,Municipal,916,916,750.2,65.72,34.28,980.0,746.07,56.43,43.57,4.13,9.29,-9.29,-6.53,0.7272727272727273,100,0,1,60.85,Medio
2024,51,5107040,3,51018996,60040735.0,MT,Primavera do Leste,690.04,0,1,Não Alfabetizado,Presente,Municipal,1037,1037,749.9,59.69,40.31,,,,,,,,,0.45794392523364486,204,0,0,32.22,Alto
2024,35,3522208,3,35276643,60030317.0,SP,Itapecerica da Serra,695.5000214,0,1,Não Alfabetizado,Presente,Municipal,1768,1768,744.84,54.92,45.08,,,,,,,,,0.6891891891891891,64,0,0,55.6,Medio
2024,43,4314100,2,43055343,60037793.0,RS,Passo Fundo,701.2445538,0,1,Não Alfabetizado,Presente,Estadual,630,630,723.76,33.49,66.51,,,,,,,,,0.47058823529411764,41,0,0,28.46,Alto
2024,24,2408102,2,24004533,60010182.0,RN,Natal,725.05,0,1,Não Alfabetizado,Presente,Estadual,937,937,735.95,45.04,54.96,,,,,,,,,0.5166666666666667,50,0,0,31.17,Alto
2025,29,2929909,3,29054202,60018300.0,BA,Seabra,736.0011006,0,1,Não Alfabetizado,Presente,Municipal,472,472,747.13,64.19,35.81,406.0,724.92,34.98,65.02,22.21,29.21,-29.21,16.26,0.65,30,0,1,58.69,Medio
